,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Pickup_x,Pickup_y,Dropoff_x,Dropoff_y,start_edge,end_edge,id,depart,vClass,departLane,type,departSpeed
41,ee4948686d74e698c7b7e5a32781b7f39c98cb30,249ef6f75a49feebb50f4bc68cf7ba703c4006498c63b611ad836d6a092992f1256525b0f558600df409729df3a150b30fc0823452be6f0f0d5e4ecbf871c0ca,01/11/2019 12:15:00 PM,01/11/2019 12:30:00 PM,467,1.52,17031080100.0,17031081403.0,8.0,8.0,7.25,0.0,0.0,0.0,7.25,Cash,Chicago Carriage Cab Corp,41.907520075,-87.6266589,POINT (-87.6266589003 41.90752007470001),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),12660.619306057866,12525.91376172565,13293.45768353925,10678.380976659246,24098485#0,220306134#2,taxi_14,44.60447371068447,,best,veh_passenger,None
42,d5fc94748179a24df2f32b2dbba5eecbe8c1a805,1c1ea52e438bf7f3a161bfbc344e45e62c13bb0f66b7e268ecf308022f8b85bd3936a18971f8f3cbe19dcab78899a07a0929cab0aeba44eb28e00abce06679c4,01/11/2019 07:00:00 PM,01/11/2019 07:15:00 PM,240,0.6,17031320400.0,17031281900.0,32.0,28.0,5.0,0.0,0.0,0.0,5.0,Cash,Taxi Affiliation Services,41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),13025.133774957969,9179.60784426704,11310.927751319367,9397.533141246997,33116710#0,319345470#0,taxi_15,50.453433650700184,,best,veh_passenger,None
44,1c4cc05289dd975f411569bfd5c30ac78f589c6b,540668d02aeae169ee7fa9a030a707352def531b109a0c3b3ca3fb3cf2b541b9886b0aed701628e17131c4abd185ffcd90495a352bd9537e4c1c470c292e8a9d,01/13/2019 04:45:00 PM,01/13/2019 04:45:00 PM,240,0.0,17031320400.0,17031281900.0,32.0,28.0,5.75,0.0,0.0,1.0,6.75,Cash,Taxi Affiliation Services,41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),13025.133774957969,9179.60784426704,11310.927751319367,9397.533141246997,33116710#0,319345470#0,taxi_16,55.35790697612914,,best,veh_passenger,None
46,47360eb15b7fcccd4732507493cb60e78b3f631d,8795edefa628410743f3f919fb021dae22c5f6935d8d7569e66dfeb27056bccbe37d8d86a4e364d07a3e32c3b59930faa0b3c4cfbf529e605c5fe53992679ec7,01/13/2019 07:00:00 PM,01/13/2019 07:15:00 PM,240,0.8,17031081600.0,17031320100.0,8.0,32.0,5.5,0.0,0.0,0.0,5.5,Cash,Choice Taxi Association,41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12464.318153216795,10812.165493657812,13112.436993356852,10020.725180737674,965387812#7,633946076,taxi_17,57.341872574495405,,best,veh_passenger,None
48,25f4f1ac5ed3710e7c87852fce48eaeef2eea43e,db2af07fe4310c460e9916312ce7ae46939a37cdc1911a98c228c0ea7d5cfa4add17df9e11ce104d62e95808dd7a0ea0a77a8915921ac50addc8ea8c942a867d,01/14/2019 12:00:00 PM,01/14/2019 12:15:00 PM,555,2.0,17031081401.0,17031839100.0,8.0,32.0,8.75,0.0,0.0,0.0,8.75,Cash,Patriot Taxi Dba Peace Taxi Associat,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13226.876501449384,11135.36641502101,12134.00798140082,9584.547444195487,461207921#0,134319745#0,taxi_18,62.645263729378584,,best,veh_passenger,None
49,af45ad03a0408a5c7eeeef9f1d07430c6ce5501d,7acb859e80eca61f0be95a49dd9a912f580266ccc8476b601e216889f252daa3cb6c116961675d9e6008230a31582a238bc56eecbc27d78d620d3b32a8bf5cfd,01/14/2019 12:30:00 PM,01/14/2019 12:30:00 PM,240,0.6,17031839100.0,17031081800.0,32.0,8.0,5.0,2.0,0.0,1.0,8.0,Credit Card,Star North Management LLC,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),12134.00798140082,9584.547444195487,11721.124692709534,10944.643321189098,134319745#0,23891801#0,taxi_19,69.93013783947903,,best,veh_passenger,None
50,d7d1f3d5e3204b2812eb1e6a2b3eebd45efdb239,1e0f9d73609c308efb157811e55606b26b659aa59c5d63ff74c655b68e29c353f63b3fc35ec19b95ce6bbe6524664169734869c49299558b5dd85ad6eff08708,01/14/2019 02:30:00 PM,01/14/2019 02:45:00 PM,420,1.5,17031280100.0,17031320400.0,28.0,32.0,7.25,2.0,0.0,0.0,9.25,Credit Card,Star North Management LLC,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),11302.723054060945,10068.785636899062,13025.133774957969,9179.60784426704,145857394#0,33116710#0,taxi_20,69.98862667658157,,best,veh_passenger,None
52,9b45629f89de0c30ad8f8b213d4219e30798abfb,7c3fa7e9da547d8e7865cb03763098ab5fbbecc639a457b8a12443f60204acc01a7e866137da370311f8011111b22475927facb77b31e44a7da0382183f3e7ae,01/14/2019 04:45:00 PM,01/14/2019 04:45:00 PM,480,1.3,17031081700.0,17031080100.0,8.0,8.0,7.0,0.0,0.0,0.0,7.0,Cash,Globe Taxi,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.907520075,-87.6266589,POINT (-87.6266589003 41.90752007470001),12216.266053279163,10810.601439353079,12660.619306057866,12525.91376172565,965387812#0,24098485#0,taxi_21,77.24099994307684,,best,veh_passenger,None
53,e3515d777fb356890a46341075db7fdbbff85c35,c369cfd39093ab1019c9df3ba695d949e89290a01c78c2a5d1ff198182d44fdc3cd133748f8d4d41309393fa9b6f98ee3dcb3dfbdc2b552b1e23bac0823bfbcf,01/15/2019 08:30:00 AM,01/15/2019 08:45:00 AM,864,2.33,17031081500.0,17031281900.0,8.0,28.0,10.0,2.0,0.0,0.0,12.5,Credit Card,Chicago Carriage Cab Corp,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12685.276812698052,10858.865207103081,11310.927751319367,9397.533141246997,56720835#3,319345470#0,taxi_22,83.52425449797089,,best,veh_passenger,None
54,92d9a0e617f76e4b021df3a3dee2d807e23a6594,6aa597cc2b86fb5528208870f01b425b5fe4e04b9586831187615b559bd34445d8f0913b8107b50e9daffa8ffc3ea5562c8443ce270be5b95d6d6166b9f3c04b,01/15/2019 03:30:00 PM,01/15/2019 03:30:00 PM,526,1.6,17031081800.0,17031833000.0,8.0,28.0,7.5,2.0,0.0,1.0,11.0,Credit Card,Sun Taxi,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),11721.124692709534,10944.643321189098,10105.933551041875,10075.774430510588,23891801#0,-283273061#9,taxi_23,86.5865091466328,,best,veh_passenger,None
60,455981b25beda807d9c68750df697e06d3d69240,317344e0629911ce4e71936079bb16b41147a62c8ccc3d2684eff1401873095fe502cce98c0740c22f70a3773f54789e081e71fff6b80528e47bcd13e6140d07,01/16/2019 06:45:00 PM,01/16/2019 07:00:00 PM,855,1.4,17031839100.0,17031081500.0,32.0,8.0,8.75,0.0,0.0,0.0,8.75,Cash,Chicago Taxicab,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),12134.00798140082,9584.547444195487,12685.276812698052,10858.865207103081,134319745#0,56720835#3,taxi_24,87.98582464493884,,best,veh_passenger,None
61,0f1b89546a9de26ddc150a247ac341c5e1fc223c,f690976c374146fadee7056b11930e5f4811daf899dd6c97533e7217c8930ccb4c532c03815c0ac2828e49f37bbc5b728249fbfef1ab68504c37a9b475bf2471,01/16/2019 08:45:00 PM,01/16/2019 08:45:00 PM,273,0.7,17031081403.0,17031081401.0,8.0,8.0,5.25,1.0,0.0,0.0,6.75,Credit Card,Globe Taxi,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),13293.45768353925,10678.380976659246,13226.876501449384,11135.36641502101,220306134#2,461207921#0,taxi_25,96.60074229479987,,best,veh_passenger,None
63,ad7198d61dfb7d7308be2ee2accfd23fbd439d4e,19e804a8eab9224b352e6a384007418b519864a3e7c2d9b547131193b12d32b734cd41df8f52190136aa559f93c1a4676bbc4743e2e21405ade28f5f268d9cf5,01/17/2019 12:45:00 PM,01/17/2019 12:45:00 PM,216,0.5,17031839100.0,17031281900.0,32.0,28.0,4.5,0.0,0.0,0.0,4.5,Cash,Medallion Leasin,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12134.00798140082,9584.547444195487,11310.927751319367,9397.533141246997,134319745#0,319345470#0,taxi_26,99.63009320081352,,best,veh_passenger,None
64,dfea34e3b2b1919d5aadd53b76bb407f219949cc,4a3ff87c5a5781a6605ba7c1d067c1026511f4a3c3062301d3f60b23cef6cad99a949d0b98d5cbfeffadf2779013455003501d1aaccd932a711096dea63178d7,01/17/2019 06:15:00 PM,01/17/2019 06:30:00 PM,900,2.4,17031320100.0,17031071700.0,32.0,7.0,10.75,0.0,0.0,0.0,10.75,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.912868922,-87.641070746,POINT (-87.6410707462 41.9128689225),13112.436993356852,10020.725180737674,11469.768461558619,13128.61762309447,583081972,130145600#0,taxi_27,100.46480579123485,,best,veh_passenger,None
66,5db0844876e99e9e9d8f0528ead5232bf16ccef2,6d1fe9dec547fb147d69e17c694f0ef67e29471f082e55cfb300c52041d547fcdee6864b96bb7edfcbd65c4741675862508b52ef807c12c8b0858bbf3e8ec38c,01/17/2019 08:00:00 PM,01/17/2019 08:00:00 PM,600,1.8,17031839100.0,17031330100.0,32.0,33.0,8.75,1.5,0.0,0.0,10.25,Credit Card,Star North Management LLC,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),12134.00798140082,9584.547444195487,13393.542399950791,7172.094790545292,134319745#0,316907585,taxi_28,101.33525318273603,,best,veh_passenger,None
70,d486dba58129ac4e54019c2841cec46fa142a89a,e055d0eec9fc4dd6879a31c2f57953078a5a07378a669cd05b33ed1ea7090f1f7579d595eb5ece0abaa9a3e6eba3c5550278064f992c43c6f3fa3be07289b8bc,01/18/2019 09:30:00 AM,01/18/2019 09:45:00 AM,720,1.7,17031081401.0,17031839100.0,8.0,32.0,8.75,2.0,0.0,0.0,11.25,Credit Card,Medallion Leasin,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13226.876501449384,11135.36641502101,12134.00798140082,9584.547444195487,461207921#0,134319745#0,taxi_29,108.96270247986317,,best,veh_passenger,None
71,6b452a8c857cc2ef9c08f242a0172193e4e05bcb,30b02068f1c857f6fd5144c600f3e61acb5f5456e5fb0e51130d690d7e3c6ca6cd88156fac127da2340854f3a782816625705ba9ce9c83920722d4a021d770bf,01/18/2019 02:15:00 PM,01/18/2019 02:30:00 PM,600,1.7,17031081800.0,17031833000.0,8.0,28.0,8.25,2.0,0.0,0.0,10.25,Credit Card,Taxi Affiliation Services,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),11721.124692709534,10944.643321189098,10105.933551041875,10075.774430510588,23891801#0,-283273061#9,taxi_30,114.39623676216519,,best,veh_passenger,None
76,5934898a9a51c16d7aa69fa6d9eb436f2c660a76,720b43d61c336a70581f338660d3772db54fe0f2122a34a06515e1fa627c38c62fb41901c0e1be89b77ee3924a267df6092610e99879aa494a01f73d68ad0832,01/20/2019 02:00:00 PM,01/20/2019 02:00:00 PM,300,0.9,17031320100.0,17031081402.0,32.0,8.0,5.75,1.25,0.0,1.0,8.0,Credit Card,Top Cab Affiliation,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),13112.436993356852,10020.725180737674,13785.653896661825,10791.375302791595,583081972,-435657388,taxi_31,121.66039122163461,,best,veh_passenger,None
77,49ca40aa42a28ecadd7155f7ec0e7883e13d621b,b889c2489ef79cdbcc7d26375dc93bdb4eb77de9f7e393990343d80168ff7bd7013ccd0b3dcd6456924ba204c257a8e145403a1f0ccc3ee9ed67e253863ac35c,01/20/2019 03:00:00 PM,01/20/2019 03:00:00 PM,360,0.8,17031280100.0,17031281900.0,28.0,28.0,6.25,0.0,0.0,0.0,6.25,Cash,"Taxicab Insurance Agency, LLC",41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),11302.723054060945,10068.785636899062,11310.927751319367,9397.533141246997,145857394#0,319345470#0,taxi_32,128.22797730187898,,best,veh_passenger,None
79,bcefef1db97e0595be3a462b5fd79a1b74d68ef9,cd3176d8f3821a429d772260aa701bfdd7fae6ed6593ed532af7a9a0e28abd1de715fb11b665d89e5611eb80c4aaca83c30ef5aa322567cc7f653647efbf9fac,01/21/2019 10:30:00 AM,01/21/2019 10:45:00 AM,780,1.7,17031280100.0,17031081401.0,28.0,8.0,9.0,0.0,0.0,1.0,10.0,Cash,Chicago Medallion Management,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),11302.723054060945,10068.785636899062,13226.876501449384,11135.36641502101,145857394#0,461207921#0,taxi_33,133.0540301249713,,best,veh_passenger,None
83,ad47ff58c6dc3749a7c4b13f76f9bfb8281a0ad9,5a5bed1b5ced617d0594007d591f10bbbca354d50b19ca99f54373170f69c7bcf82031bf24d3658eb4b84394a53b2b0f0edaee827abee3583caf07ad56d25dc9,01/22/2019 08:30:00 AM,01/22/2019 08:45:00 AM,540,2.1,17031281900.0,17031330100.0,28.0,33.0,8.75,3.0,0.0,0.0,12.25,Credit Card,24 Seven Taxi,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),11310.927751319367,9397.533141246997,13393.542399950791,7172.094790545292,1031291396#1,316907585,taxi_34,141.81207200078563,,best,veh_passenger,None
84,18a40bf0021d18445cd45af019218f91c663c8f8,bf0b24da916699ff5cbf87a51706ee3f35aae16e67d0bd7d1e21eae469eb89a62b8916d540b39d2f9115addf0ca9886f53664c8ba6ebcc44f6aa9dbd71a8901a,01/22/2019 11:00:00 AM,01/22/2019 11:15:00 AM,480,1.1,17031281900.0,17031320400.0,28.0,32.0,6.5,4.0,0.0,1.0,12.0,Credit Card,Medallion Leasin,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),11310.927751319367,9397.533141246997,13025.133774957969,9179.60784426704,1031291396#1,33116710#0,taxi_35,145.21888139566082,,best,veh_passenger,None
85,60d9a36300bfde367bbcc5304da7f5d623e3c7fa,2fd056590c9a7a99233571ae9f5eea3420d83365c5ae6d4df93dc299f532a0432a23a9b8fc0c65bf5ebbffa7e333d7f670877f71fe3bc76641112d95e29ef8e0,01/22/2019 03:30:00 PM,01/22/2019 03:30:00 PM,447,0.88,17031081800.0,17031281900.0,8.0,28.0,6.5,2.0,0.0,0.0,9.0,Credit Card,Chicago Carriage Cab Corp,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),11721.124692709534,10944.643321189098,11310.927751319367,9397.533141246997,23891801#0,319345470#0,taxi_36,150.18724707711985,,best,veh_passenger,None
88,1f44bf76d56a91288c7ccb8016d4c8ec548d6127,8fd790790b56a47b8d7dfae3d7fcd970da7c57f6c1d9f75b735cec945f5e13442d271539cc1acfd65c59dcf7b856e3787e8750be356de5d5643cd0156caf5a0e,01/23/2019 12:30:00 PM,01/23/2019 12:30:00 PM,443,0.91,17031280100.0,17031320100.0,28.0,32.0,6.25,3.0,0.0,0.0,9.75,Credit Card,Chicago Carriage Cab Corp,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),11302.723054060945,10068.785636899062,13112.436993356852,10020.725180737674,145857394#0,633946076,taxi_37,157.6518890553968,,best,veh_passenger,None
89,98c83fec5b51b97737a132cabc2b7f97cf60c0fd,a9ee5e97ba7efef90f445edbd32726cbbc44fd4fd47bc5ef858403ed8dfd7a5b6193145ff5a4ee0d0142a6810518e0498d822062f3aa3052c20b09e0952e3d6d,01/23/2019 04:00:00 PM,01/23/2019 04:00:00 PM,180,0.0,17031839100.0,17031281900.0,32.0,28.0,4.75,0.0,0.0,0.0,4.75,Cash,Blue Ribbon Taxi Association Inc.,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12134.00798140082,9584.547444195487,11310.927751319367,9397.533141246997,134319745#0,319345470#0,taxi_38,163.21856682667502,,best,veh_passenger,None
